Asset Name,Asset Category,Asset Description,Industry,Domain,Value Delivered/Key KPIs,Tech/AI/Core Capabilities,Number of projects,Clients Live with,Key Accounts/Clients,Client Feedback/Success Stories,Project PPMDs,Asset Lead,Positive Client Feedback Percentage,Keyword tagging,Image tagging,IMO Category,Buyer Types,Outcome,Gift Baskets
TrueServe,Productized Solution,"TrueServe is key enabler for omnichannel contact center transformations and will drive hyper-personalized, emotional, sentiment, and context aware customer service. Tactically, the features include voice and digital chatbots with conversational AI and sentiment analysis, computer telephony integration (CTI), guided service (next best action), co-browsing, and customer and agent portals. Built on Amazon Connect, Salesforce and OneReach. Deloitte’s IP includes the technology framework that seamlessly connects those systems and a library of pre-built industry-specific “conversations” (bots).",Cross Industry,Cross domain,,"AI - Intelligent Automation (including Robotic Process Automation / RPA), AI - Machine Learning, AI - Predictive Analytics, Behavior Prediction, and Recommenders, AI - Text Recognition and NLP/NLG",,,,,Kevin Hall,"Ashley Kopcho, Dave Yeon, Yoni Barkan, Nadia Tanoli",,,Digital Examiner.jpg,Data and AI,,,AI Insights & Engagement
CentralSight,,"CentralSight™ seeks to solve what is fundamentally the most challenging problem in supply chain risk management: the ability to visualize a 12-tier deep, thousands of companies large, geographically-disaggregated, and functionally specialized supplier ecosystem in a time-sensitive, cost-effective manner. With CentralSight™, we can identify risks critical to cost, schedule, performance, security, and resiliency, and create decision space to provide our executives time to address those risks before they manifest as problems within business operations or national security",Cross Industry,Cross domain,,"AI - Machine Learning, AI - Predictive Analytics, Behavior Prediction",,,,,Melanie Rojas,"Robert Mellor, Phil Carter, Michael Josephs",,,High Dollar Claims.png,Data and AI,,,
300+ Reusbale IA SKUs,,,,,,,,,,,,,,,Program Integrity.png,Data and AI,,,AI & Data Operations
Automated Process Assessment Tool (APAT),,,,,,,,,,,,,,,Intelligent Secure Messaging.png,Data and AI,,,AI & Data Operations
CDC Rule Engine,,,,,,,,,,,,,,,Strategy Accelerator.png,Data and AI,,,AI & Data Operations
Cloud Analytics Test Engine,,,,,,,,,,,,,,,Revenue Intellect.jpg,Data and AI,,,AI & Data Operations
Cortex AI/Intelliforce,,,,,,,,,,,,Mudit Gupta,,,Innowake.jpg,Data and AI,,,AI & Data Operations
D-Coder,,,,,,,,,,,,,,,Process Bionics.jpg,Data and AI,,,AI & Data Operations
D-Operate,,,,,,,,,,,,,,,ATADATA.jpg,Data and AI,,,AI & Data Operations
Data Quality Health Reporter,,,,,,,,,,,,,,,Gardenia_Prior Authorization.jpg,Data and AI,,,AI & Data Operations
Digital FTEs,,,,,,,,,,,,,,,Gardenia- Digital Front Door.jpg,Data and AI,,,AI & Data Operations
Digital Heartbeat,,,,,,,,,,,,,,,Labor productivity analytics.jpg,Data and AI,,,AI & Data Operations
Digital Pipeline,,,,,,,,,,,,,,,Spend analytics.jpg,Data and AI,,,AI & Data Operations
Intellitest,,,,,,,,,,,,,,,Management Intelligent platform.jpg,Data and AI,,,AI & Data Operations
MLOps Accelerator,,,,,,,,,,,,,,,Digital Clinician.png,Data and AI,,,AI & Data Operations
Operate Command Center,,,,,,,,,,,,,,,Smart UM.jpg,Data and AI,,,AI & Data Operations
OperateEdge,,,,,,,,,,,,,,,Digital Examiner.jpg,Data and AI,,,AI & Data Operations
Orchestration Hub,,,,,,,,,,,,,,,High Dollar Claims.png,Data and AI,,,AI & Data Operations
250+ Reusable SKUs,,,,,,,,,,,,,,,Program Integrity.png,Data and AI,,,AI Insights & Engagement
Adverse Events,,,,,,,,,,,,,,,Intelligent Secure Messaging.png,Data and AI,,,AI Insights & Engagement
Deloitte Vision AI Accelerators,,,,,,,,,,,,,,,Strategy Accelerator.png,Data and AI,,,AI Insights & Engagement
DocTA,,,,,,,,,,,,,,,Revenue Intellect.jpg,Data and AI,,,AI Insights & Engagement
Find Provider Location,,,,,,,,,,,,,,,Innowake.jpg,Data and AI,,,AI Insights & Engagement
Heartbeat.ai,,,,,,,,,,,,,,,Process Bionics.jpg,Data and AI,,,AI Insights & Engagement
IntelliDoc,,,,,,,,,,,,,,,ATADATA.jpg,Data and AI,,,AI Insights & Engagement
Medicare Telesales,,,,,,,,,,,,,,,Gardenia_Prior Authorization.jpg,Data and AI,,,AI Insights & Engagement
Nurse Attrition,,,,,,,,,,,,Adarsh Goshu,,,Gardenia- Digital Front Door.jpg,Data and AI,,,AI Insights & Engagement
Campaign.AI,,,,,,,,,,,,,,,Labor productivity analytics.jpg,Data and AI,,,AI Insights & Engagement
Pregnancy Benefits,,,,,,,,,,,,,,,Spend analytics.jpg,Data and AI,,,AI Insights & Engagement
Sentiment Analysis,,,,,,,,,,,,,,,Management Intelligent platform.jpg,Data and AI,,,AI Insights & Engagement
TrueServe DNA,,,,,,,,,,,,,,,Digital Clinician.png,Data and AI,,,AI Insights & Engagement
WhisperAgent,,,,,,,,,,,,Adarsh Goshu,,,Smart UM.jpg,Data and AI,,,AI Insights & Engagement
AI and Data Strategy Playbook,,,,,,,,,,,,,,,Digital Examiner.jpg,Data and AI,,,Data & AI Strategy
HealthcareX Solution Suite,Productized Solution,"Self-service solution suite with analytics, AI, and visualization capabilities developed by Deloitte to accelerate and amplify insight generation for health systems, health plans, and PBMs",Healthcare,Cross domain,"Setup of Membership and Claims subject areas (40+ tables) on AWS/Snowflake, 40+ visualizations that allows for analyst teams to innovate the presentation of insights, along with custom built specific to client, PHI, Tokenization, Detokenization custom capabilities synced with Snowflake","Java spring boot, Angular, im-memory H2, Pyhton, R",1,,,,Chebrolu Kumar,"Brian Wolotka, Sateeshu Kandikuppa, Dinesh Dhoot",,,High Dollar Claims.png,Data and AI,,,
